Country Name,Series Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Bahamas, The",Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),3.078110766,3.025903196,3.275796559,2.410776538,2.571060268,2.501061374,3.801239808,3.120917285,3.491093344,2.297641561,2.708346095,2.878984993,2.972027057,2.906997867,3.209081187,3.517676735,3.928019413,4.489516691,3.631054178
"Egypt, Arab Rep.",Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),1.750199129,1.891426153,1.901352845,1.899082364,2.018352553,2.19951901,2.352712938,2.403782485,2.373937498,2.407781695,2.500416456,2.399352513,2.389995047,2.403603301,2.460508744,2.527353571,2.427799169,2.204155642,2.069140954
"Congo, Dem. Rep.",Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),0.037148981,0.034987674,0.035601513,0.041887207,0.038845399,0.04223002,0.044904025,0.042301062,0.042944421,0.04753469,0.041160545,0.05533228,0.068696139,0.043078634,0.032039243,0.03593337,0.034456204,0.036090289,0.03602667
"Gambia, The",Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),0.184319256,0.198058743,0.200365829,0.198147706,0.201071725,0.198735841,0.215804147,0.232497,0.229779459,0.235761555,0.220401019,0.214752213,0.223974927,0.226699674,0.222614459,0.218727011,0.215491375,0.227690484,0.233450847
Puerto Rico,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),6.608924305,6.510780685,5.268089738,6.830515186,6.841765011,6.885581633,4.093897523,3.735633259,3.609729882,3.171554764,3.119421498,3.044243138,3.256580008,3.482951902,3.331491849,3.497383383,4.289220675,3.946276631,3.805967716
St. Kitts and Nevis,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),1.093971004,1.1035598,1.249456758,1.297210672,1.407751268,1.307147318,1.714529732,1.926847984,2.104768817,1.657211108,1.694554887,1.931207376,2.064176347,2.161955529,2.366436537,2.208289054,2.312372362,2.660163571,2.163430766
St. Lucia,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),0.608387552,0.645294158,0.601332583,0.694580797,0.667320186,0.695678453,0.885029146,0.947789179,1.064912876,0.820134924,0.843632487,0.960379307,1.019306527,1.041136617,1.116450133,1.111476563,1.056960631,1.756153573,1.420476858
St. Vincent and the Grenadines,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),0.366374565,0.425546911,0.48876459,0.528544029,0.568086143,0.586038239,0.732247721,1.121185797,0.880328122,0.626434627,0.801942319,0.75923614,0.855535407,0.887247569,0.949703335,1.031581538,0.969254522,0.973436885,0.794003439
"Yemen, Rep.",Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),0.802287346,0.829100075,0.807080902,0.910447191,0.92507108,0.966288629,1.005338456,1.065816652,0.984657208,0.833853674,0.773794512,0.982040294,0.938063592,0.457351862,0.331022352,0.314049887,0.356586038,0.355001429,0.318360139
Turkiye,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),3.47027994,3.120552503,3.241916577,3.386052516,3.438657254,3.549305818,4.21561191,4.183302631,4.267659619,4.482810993,4.577613759,4.384122346,4.604101139,4.702266072,4.934894769,5.393643979,5.268730271,5.008961068,5.070409816
